"name"
"Henry Owens (right-handed pitcher)"
"Henry Oxley"
"Henry P. Baldwin"
"Henry P. Fletcher"
"Henry P. Haun"
"Henry P. Smith III"
"Henry Pachter"
"Henry Padovani"
"Henry Page"
"Henry Page Croft, 1st Baron Croft"
"Henry Paget, 1st Earl of Uxbridge (second creation)"
"Henry Paget, 1st Marquess of Anglesey"
"Henry Paget, 2nd Marquess of Anglesey"
"Henry Paget, 5th Marquess of Anglesey"
"Henry Paget, 7th Marquess of Anglesey"
"Henry Pancoast"
"Henry Pankhurst"
"Henry Parker (Australian politician)"
"Henry Parker Willis"
"Henry Parkes"
"Henry Parnell, 1st Baron Congleton"
"Henry Paston-Bedingfeld"
"Henry Paul"
"Henry Paulson"
"Henry Peach Robinson"
"Henry Peacham (born 1546)"
"Henry Pearce (cricketer)"
"Henry Peavey"
"Henry Pedris"
"Henry Pelham"
"Henry Pelham Lee"
"Henry Pelham-Clinton, 5th Duke of Newcastle"
"Henry Pelham-Clinton, 2nd Duke of Newcastle"
"Henry Pelham-Clinton, Earl of Lincoln"
"Henry Pelham-Clinton, 4th Duke of Newcastle"
"Henry Pelham-Clinton, 6th Duke of Newcastle"
"Henry Pelham-Clinton, 7th Duke of Newcastle"
"Henry Pelham-Clinton-Hope, 9th Duke of Newcastle"
"Henry Pellatt"
"Henry Pelling"
"Henry Penruddocke Wyndham"
"Henry Percy (Hotspur)"
"Henry Percy, 11th Duke of Northumberland"
"Henry Percy, 2nd Earl of Northumberland"
"Henry Percy, 3rd Earl of Northumberland"
"Henry Percy, 4th Earl of Northumberland"
"Henry Percy, 5th Earl of Northumberland"
"Henry Percy, 6th Earl of Northumberland"
"Henry Percy, 7th Duke of Northumberland"
"Henry Percy, 8th Earl of Northumberland"
"Henry Percy, 9th Duke of Northumberland"
"Henry Percy, 9th Earl of Northumberland"
"Henry Pereira Mendes"
"Henry Perenara"
"Henry Perky"
"Henry Peronneau"
"Henry Perrin Coon"
"Henry Perrine"
"Henry Perry (restaurateur)"
"Henry Persons"
"Henry Peter Bosse"
"Henry Peters Gray"
"Henry Petersen"
"Henry Petroski"
"Henry Pettitt"
"Henry Petty-Fitzmaurice, 3rd Marquess of Lansdowne"
"Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne"
"Henry Petty-Fitzmaurice, 4th Marquess of Lansdowne"
"Henry Petty-Fitzmaurice, 6th Marquess of Lansdowne"
"Henry Phillips (colonial administrator)"
"Henry Phillpotts"
"Henry Phipps, 1st Earl of Mulgrave"
"Henry Phipps, Jr."
"Henry Picard"
"Henry Pickering Bowditch"
"Henry Pierrepoint"
"Henry Pierrepont (diplomat)"
"Henry Pierrepont, 1st Marquess of Dorchester"
"Henry Pittock"
"Henry Playfair"
"Henry Playford"
"Henry Pleasants"
"Henry Pleasants (music critic)"
"Henry Plumb, Baron Plumb"
"Henry Plumer McIlhenny"
"Henry Plummer"
"Henry Poehler"
"Henry Pogorzelski"
"Henry Polic II"
"Henry Pollack (broadcaster)"
"Henry Pomeroy Davison"
"Henry Poole MacKeen"
"Henry Porter (baseball)"
"Henry Porter (playwright)"
"Henry Porter (rugby league)"
"Henry Portman, 2nd Viscount Portman"
"Henry Post"
"Henry Pottinger"
"Henry Pottinger Stephens"
"Henry Powlett, 3rd Baron Bayning"
"Henry Pratt Fairchild"
"Henry Prescott"
"Henry Price (politician)"
"Henry Primakoff"
"Henry Prittie, 1st Baron Dunalley"
"Henry Prittie, 2nd Baron Dunalley"
"Henry Procter (British Army officer)"
"Henry Promnitz"
